"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,77.1725127366025,77.1605813995506,77.1741261737336,77.2569335863459,77.3714497627496,77.5087235760991,77.6574871535692,77.8132049605372,77.9727976028191,78.1348558555933,78.2985692551344,78.4635469409045,78.6295522383582,78.7964171589391,78.9639870139197,79.1321110618764,79.30064316099,79.469447123273,79.6384000532416,79.807393653171,79.97633375978,80.1451390174637,80.3137392420906,80.4820738306166,80.6500903582168,80.8177433999061,80.9849935579763,81.1518066606038,81.3181530965533,81.4840072569576,81.6493470616671
"2",1,78.2222391606273,78.2129248833655,78.22349883126,78.2881914264493,78.3777917842012,78.4854071374573,78.6022891260146,78.7249264788978,78.8509277187747,78.9792019622726,79.1091232012365,79.2403932692609,79.3728340008839,79.5063202816533,79.6407362361775,79.7759677893818,79.9119031922502,80.0484373706299,80.1854747159126,80.3229302721459,80.4607295033686,80.5988073533825,80.7371070380373,80.875578856595,81.0141791390678,81.1528693624834,81.291615423663,81.4303870425749,81.5691572694211,81.7079020731057,81.8465999937164
"3",2,77.3336319760109,77.3245499025658,77.3348602730759,77.397951165944,77.4853638833142,77.590398497779,77.7045346454843,77.8243540568103,77.9475264185576,78.0729888155625,78.2001310262331,78.3286625365969,78.4584097431436,78.5892506331453,78.7210719506627,78.8537619254466,78.9872108005931,79.1213151184909,79.2559804884617,79.3911227853383,79.5266679538885,79.6625511151801,79.7987154059156,79.9351108322933,80.0716932538042,80.2084235300204,80.3452668187745,80.4821920007126,80.619171204199,80.7561794088775,80.8931941110295
"4",3,76.4227190796107,76.4138194870742,76.4239227208032,76.4857547155792,76.5714475152285,76.6744524196079,76.7864281042501,76.904029325501,77.0249738395835,77.1482207261901,77.2731721950488,77.3995437710502,77.5271654627105,77.6559177240932,77.7856893908031,77.9163705406206,78.0478530221751,78.1800346906176,78.3128221563139,78.4461319917192,78.5798905644082,78.7140331796544,78.8485029564458,78.9832497145194,79.1182289866347,79.2534011892104,79.3887309403512,79.5241865009682,79.6597393136115,79.7953636178345,79.9310361256258
"5",4,75.4938893183659,75.4851318757175,75.4950737524634,75.555924884911,75.6402770695354,75.7416990490051,75.8519888156089,75.967857944134,76.0870616401184,76.2085761354676,76.3318133530328,76.4564935509449,76.5824495824945,76.7095638569009,76.8377268767507,76.9668302012334,77.0967669750623,77.2274361239938,77.3587450878182,77.4906110328964,77.6229607068706,77.7557296090103,77.8888608944771,78.0223042869574,78.1560151129305,78.2899534907316,78.4240836639192,78.5583734552031,78.6927938160497,78.8273184511794,78.9619235018024
"6",5,74.5509774785965,74.5423301038556,74.5521470398932,74.6122384683649,74.6955517198903,74.7957460873508,74.9047272735979,75.019250775164,75.1371007982781,75.257266874889,75.3791684792298,75.5025295645412,75.627185219088,75.7530194008869,75.8799239426157,76.0077915942884,76.1365165517952,76.2659986202804,76.3961459339714,76.5268761722485,76.6581164305011,76.7898024115021,76.9218773512027,77.0542909509268,77.1869984284703,77.3199597212722,77.4531388315315,77.5865032899485,77.7200237135877,77.8536734373831,77.9874282033669
"7",6,73.5972884837513,73.5887261601692,73.5984465520106,73.6579507252559,73.7404602661651,73.8397040369668,73.9476707994175,74.0611499112089,74.1779479889878,74.2970648590398,74.4179258597421,74.5402578283759,74.6638976111934,74.7887303967728,74.9146490840028,75.0415473861623,75.1693203585945,75.2978685361773,75.4271006419542,75.5569348050576,75.6872984433815,75.8181274707175,75.9493652388299,76.0809614844987,76.2128713934146,76.3450548140856,76.4774756118951,76.6101011403153,76.7429018050603,76.8758507009351,77.0089233056391
"8",7,72.6356268281767,72.6271304625727,72.6367759828863,72.6958245158904,72.7777098684004,72.8762144558278,72.9833912807575,73.0960558798935,73.2120322469389,73.3303282050001,73.4503736654632,73.5718977272494,73.6947386272414,73.8187825384751,73.9439232215768,74.0700551765202,74.1970741690908,74.3248813472193,74.4533859399168,74.5825064757708,74.7121706741261,74.8423146639612,74.9728819382326,75.1038223121634,75.2350909968506,75.3666478213247,75.4984565934014,75.6304845765713,75.7627020589347,75.8950819941148,76.0275996985463
"9",8,71.6683261763137,71.659881636768,71.6694683267149,71.728158642132,71.809552709229,71.9074746526652,72.0140277895131,72.126048147899,72.2413733688978,72.3590175671724,72.4784142664207,72.5992943615093,72.7214972030151,72.8449097612375,72.9694265021523,73.0949425767268,73.221354345974,73.3485634797311,73.4764796470538,73.6050217343689,73.7341177427372,73.8637040155062,73.9937242019646,74.1241282242148,74.2548713582117,74.3859134620647,74.51721834209,74.6487532340442,74.7804883757191,74.9123966509668,75.0444532896584
"10",9,70.697266174285,70.6888637050643,70.6984026384388,70.7568020082055,70.8377966104691,70.9352441335416,71.0412886064039,71.1527826255619,71.2675749015694,71.3846846589531,71.5035483650998,71.6238983839412,71.7455749830179,71.8684657949325,71.9924658770253,72.1174709312939,72.2433778279684,72.3700886893106,72.4975135723562,72.6255716861656,72.7541912935483,72.8833089454864,73.0128684520847,73.1428198562096,73.2731185204,73.403724360103,73.5346012138351,73.6657163278454,73.7970399315985,73.9285448842538,74.0602063767327
