"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,78.3409544559512,78.9149171141045,79.4258909343067,79.8531645853431,80.2192119983557,80.5437309876835,80.8428619162686,81.1274416316263,81.4037596419979,81.6749465770758,81.9421607018938,82.2055794497823,82.465031514843,82.7203452036434,82.971476949248,83.2185190470758,83.461655851834,83.7011132907081,83.9371207607663,84.1698897738712,84.3996061184529,84.6264303440171,84.8505019822506,85.0719444951401,85.2908694369411,85.5073793762183,85.7215696993886,85.9335296304447,86.1433428018105,86.3510876216554,86.556837579902
"2",1,79.1428151937808,79.6013367651098,80.0131712067608,80.360225890888,80.6595200184542,80.9263957696155,81.1736821541889,81.4100935969065,81.6407230996481,81.8681088018533,82.0931716550162,82.3160180027052,82.5364594660342,82.7543046028904,82.9694694841356,83.181986814775,83.3919704740208,83.5995732306512,83.8049541717842,84.0082600120184,84.2096178643209,84.4091352129529,84.60690321763,84.8030007549151,84.9974978594696,85.1904581386043,85.3819402401492,85.5719986499152,85.7606841041324,85.9480438294273,86.1341217351289
"3",2,78.2331135343453,78.6824258902875,79.0866701571027,79.427801971572,79.722318692693,79.9851809565115,80.2289472296949,80.4621650822266,80.6898346067206,80.9144465378041,81.1368998448818,81.3572903418382,81.5754228175692,81.7910990788689,82.0042275353767,82.2148325170393,82.4230193626443,82.6289326094912,82.8327237000474,83.0345323886646,83.2344794942957,83.432666800671,83.6291802748146,83.8240940313583,84.0174737124972,84.209378856433,84.3998643307199,84.588981102921,84.7767766309995,84.9632950841376,85.1485775177924
"4",3,77.3055952299257,77.7476386061185,78.1458813641133,78.4823226888152,78.7730509182539,79.0327266418952,79.2736949930283,79.5043717732739,79.7296836759875,79.9520840405712,80.1724545976175,80.3908830144019,80.6071688660591,80.8211087962477,81.0326053070366,81.2416762296659,81.448420250357,81.6529754803505,81.8554873871402,82.0560902818429,82.2549000596959,82.4520140438771,82.6475141369134,82.8414707244199,83.0339460069131,83.2249963321418,83.4146736015152,83.6030260199602,83.7900984692615,83.9759327140912,84.160567563745
"5",4,76.3637984007795,76.8001434156519,77.1936696742127,77.526416624702,77.8141551894095,78.0713119887853,78.3100651526916,78.5387271088389,78.7621669369555,78.9828086845711,79.2015206924277,79.418384424763,79.6331955691302,79.8457469064506,80.0559364634255,80.2637771016093,80.4693623908818,80.672825484368,80.8743072315975,81.0739377331759,81.271829074082,81.468075124498,81.6627546391536,81.8559351138689,82.0476760798816,82.2380314081771,82.4270506951788,82.6147799966906,82.8012621882618,82.9865371599859,83.1706419681224
"6",5,75.4108120665174,75.8427062152967,76.2325359286074,76.5623786413779,76.8477608042658,77.102927626354,77.3399270461516,77.5669906636398,77.788942475635,78.0081836726614,78.2255722682104,78.4411850772638,78.6548149650926,78.8662518944452,79.0753905645286,79.2822400903022,79.4868901526375,79.6894701185417,79.8901173027289,80.0889585792464,80.2861031117049,80.4816421218027,80.6756519485686,80.8681978683322,81.0593373600271,81.2491223879623,81.4376007716902,81.6248169079302,81.8108121212073,81.995624850263,82.179290792124
"7",6,74.4493031859422,74.877718003875,75.2646449431918,75.5921978858715,75.8757157639454,76.1293033690209,76.3649071288806,76.5906953674789,76.8114567490047,77.0295746150253,77.2458990401854,77.4605034084615,77.6731786031562,77.8837125933775,78.0919976549558,78.2980401176369,78.5019267367342,78.7037840125611,78.9037465746309,79.1019388424181,79.2984677558747,79.4934225200172,79.6868776333911,79.8788966797222,80.0695355707675,80.2588448125329,80.4468708631455,80.6336568457943,80.8192428921828,81.0036663227753,81.186961785316
"8",7,73.4815420958291,73.9072184968969,74.2918475976853,74.617578682752,74.8996067002472,75.15192733605,75.3864073889625,75.6111652846086,75.8309617803879,76.0481661823853,76.2636224483173,76.4774014658206,76.6892927857439,76.8990830220701,77.1066627261765,77.3120361843126,77.5152879686065,77.7165424207652,77.9159321395111,78.113579684722,78.309590310907,78.5040516942767,78.6970369375225,78.8886083394122,79.0788206201629,79.2677231748958,79.4553614224149,79.6417775114743,79.8270106589794,80.0110973257685,80.1940713511124
"9",8,72.5094163132984,72.9329034436924,73.3156830711287,73.6399390084673,73.9207544715763,74.1720392533658,74.4055967425745,74.6295053755309,74.8485034976135,75.0649491976012,75.2796816614673,75.4927699716317,75.7040028292041,75.9131659694583,76.1201487414024,76.3249539418727,76.5276645144023,76.7284031712654,76.9273009698512,77.1244790559954,77.3200414024381,77.5140745231315,77.7066504595548,77.897830532843,78.0876685553168,78.2762130739395,78.4635087121178,78.6495968709812,78.8345160637501,79.0183020882953,79.2009881587447
"10",9,71.5344135532579,71.9560933562176,72.3373361388309,72.6603591566847,72.9401560994508,73.1905669325533,73.4233428996455,73.6465293397519,73.8648460056171,74.080641720519,74.2947518214942,74.5072440522722,74.7179065868682,74.9265246024813,75.1329866007684,75.3372942687214,75.5395293029796,75.7398131517219,75.9382756696981,76.135036897631,76.3301998069391,76.5238500045074,76.716058704109,76.9068864642007,77.0963863880826,77.2846063592257,77.4715903775146,77.6573792566668,77.8420109557116,78.0255207491585,78.2079413564616
