"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,77.7647007150349,78.0556243267044,78.3293109154659,78.5938004788206,78.8417123301856,79.0786305876013,79.3075875384182,79.5321285161922,79.7541294927872,79.9745838536016,80.1937176932785,80.4114289467054,80.6275012081253,80.8417511579778,81.0540726026875,81.2644366066304,81.4728681530125,81.6794211152537,81.8841588869201,82.0871431247546,82.2884290360338,82.4880648302563,82.6860931014942,82.882552662311,83.0774800630871,83.2709105595649,83.4628785807796,83.6534178600239,83.8425613926949,84.030341339629,84.2167889418446
"2",1,78.6866942665795,78.9164464233829,79.1335574609446,79.3442808164772,79.5426174869719,79.7329099896499,79.9175125248378,80.0992333162865,80.2795647047051,80.4593001679625,80.6386155527298,80.8174189080892,80.9955221593341,81.1727616127301,81.3490351235492,81.524303398473,81.6985716274726,81.8718692686492,82.0442341555309,82.2157031269004,82.3863080167312,82.5560751109517,82.7250262457375,82.8931803169324,83.0605545496946,83.2271653168963,83.3930285403366,83.5581598062201,83.7225743311732,83.8862868792093,84.0493116864684
"3",2,77.7869934590086,78.011600400621,78.2240502941488,78.4304314217262,78.6248404015683,78.8115059537431,78.9927189793936,79.1712240979259,79.3484799706312,79.5252616695339,79.7017382769639,79.8778155654717,80.0533044231607,80.2280394471483,80.4019157148516,80.5748902549335,80.7469640770145,80.9181623073858,81.0885185311891,81.2580655377307,81.4268313436375,81.5948386381705,81.7621058539618,81.9286486487676,82.0944811538706,82.2596167784361,82.4240686021534,82.5878494853888,82.7509720313402,82.9134484995242,83.075290726927
"4",3,76.8673549435269,77.0879096319186,77.296685366748,77.4996408705779,77.690948757071,77.8747484402299,78.0532811834639,78.2292415789045,78.404061822581,78.5785025558393,78.7527276278084,78.9266411293831,79.1000532504977,79.2727973572452,79.4447664452076,79.6159147411942,79.7862400471018,79.9557641537786,80.1245173700553,80.292529360399,80.4598251950719,80.6264247868379,80.7923439401639,80.9575958112539,81.1221921397928,81.2861440423498,81.4494623984211,81.6121579565662,81.774241293713,81.9357227260937,82.0966122277512
"5",4,75.9317195236988,76.1491075924336,76.3550086179777,76.5552806602397,76.7441564945489,76.9257061060259,77.1021322116678,77.2760903844934,77.4489922067445,77.6215871163499,77.7940349787113,77.9662386953683,78.1380080436539,78.3091755564763,78.4796327210466,78.6493316806579,78.8182678249869,78.9864604233697,79.1539373019564,79.320725755093,79.486848617534,79.6523236948928,79.8171647962066,79.9813831770844,80.1449887585153,80.3079909118375,80.4703988397942,80.6322216797324,80.793468460895,80.9541480135752,81.1142688857569
"6",5,74.9835288648507,75.198454301698,75.4021159087279,75.6002940797013,75.7872692036171,75.9670576538481,76.141832428413,76.3142188333684,76.4856124898814,76.6567541995538,76.8278008409815,76.9986545227081,77.1691248422415,77.339043821366,77.5083019002467,77.6768497146434,77.8446808788592,78.0118127918364,78.178271431763,78.3440823264721,78.5092666438248,78.6738406177938,78.8378165682884,79.0012043312521,79.164012467489,79.3262490411968,79.4879219973165,79.6490392626547,79.8096087018301,79.9696380252624,80.1291347045715
"7",6,74.0257514066303,74.2387628669275,74.4406800433669,74.6372235959188,74.8227117688593,75.001119658971,75.1745974297765,75.3457469397627,75.515951473308,75.6859451949494,75.8558827738125,76.0256658361194,76.1951039837369,76.364028981508,76.532330585331,76.6999583754436,76.8669046900667,77.0331855680575,77.1988256371325,77.3638491318765,77.5282759992974,77.6921213220184,77.8553963283901,78.0181098125074,78.1802693353376,78.3418819983582,78.5029548181879,78.663494826292,78.8235090240999,78.9830042903036,79.1419872954951
"8",7,73.060909733752,73.2724258672928,73.4729762466391,73.6682354753216,73.8525522105523,74.0298696841213,74.2023204768598,74.3724881982106,74.541746556251,74.7108245993794,74.8798753773231,75.0488002693667,75.2174090217905,75.3855333367192,75.5530625633128,75.7199455721413,75.8861738074372,76.0517623386353,76.2167348240552,76.3811145678405,76.5449206384081,76.7081672898659,76.8708649646964,77.0330217059303,77.1946443522893,77.3557393080772,77.5163129158215,77.6763715550493,77.835921596952,77.9949693113413,78.1535207808822
"9",8,72.0911017317584,72.3014326911611,72.5008961062249,72.6951306268249,72.8785097828243,73.0549518982736,73.2265758506675,73.3959508428451,73.5644430430501,73.732777501894,73.901106078878,74.0693300735749,74.2372594743013,74.4047260592373,74.5716189722053,74.7378866268892,74.9035198538059,75.0685330401481,75.2329491554287,75.3967908408915,75.5600765391415,75.7228199145884,75.8850308503621,76.0467168542651,76.2078842491612,76.3685389399368,76.5286867846627,76.6883336927706,76.8474855795188,77.0061482728418,77.1643274274191
"10",9,71.1179994876077,71.327360226153,71.5259308958928,71.7193211359392,71.9019254396146,72.0776420107282,72.2485786880299,72.4172929195222,72.5851447343193,72.7528559493445,72.9205775184791,73.0882107639459,73.2555659703756,73.4224750757771,73.5888271471134,73.7545703066144,73.9196949567642,74.0842149939935,74.2481528867625,74.4115307928462,74.5743666988835,74.7366738403526,74.8984616938364,75.0597373778496,75.2205068392974,75.3807756180425,75.5405492169061,75.6998331994436,75.8586331443561,76.0169545523653,76.1748027602595
