"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,76.5448948004939,76.9380686944077,77.2987506322389,77.6334020376177,77.9470477813239,78.2436136351136,78.5261789124923,78.797167537809,79.0584937627772,79.3116740610238,79.5579135347999,79.7981729458268,80.033220909459,80.2636746598589,80.4900319679405,80.7126961831306,80.9319959133836,81.1482005131919,81.3615322870194,81.5721761145932,81.7802870496123,81.9859963235257,82.1894160928509,82.3906431958484,82.5897621275839,82.7868473979293,82.9819654021471,83.175175906287,83.3665332280372,83.5560871766993,83.7438838025562
"2",1,77.5081492288163,77.8186099779294,78.1049914087353,78.372079673355,78.6236241897745,78.8625727139391,79.0912497231414,79.3114929881726,79.5247588845733,79.7322040668094,79.9347491042215,80.1331282473305,80.3279284642363,80.5196201347921,80.7085812328377,80.8951164086816,81.079472067292,81.2618482956521,81.4424083065579,81.6212859220667,81.798591507798,81.9744166818665,82.1488380537889,82.3219201949819,82.4937180002142,82.6642785660837,82.8336426863221,83.0018460429849,83.1689201561786,83.3348931420001,83.4997903180894
"3",2,76.5896162160866,76.89426165392,77.1755801010691,77.4381973837226,77.6857446440069,77.9210812554823,78.1464648590805,78.3636821047441,78.5741498291179,78.7789937612412,78.9791100029869,79.1752132153016,79.3678744869699,79.5575511599527,79.744610361255,79.9293475960426,80.1120014558957,80.2927652653113,80.4717963114124,80.6492231635406,80.825151481623,80.9996686278868,81.1728473303459,81.3447485944682,81.51542401845,81.6849176351909,81.8532673785112,82.0205062509531,82.1866632545117,82.3517641329768,82.5158319645259
"4",3,75.6577692488026,75.9577254283648,76.2349503904021,76.4939437626007,76.7382433663008,76.9706387038387,77.1933344961032,77.4080768694105,77.616251293738,77.8189589551639,78.0170765374556,78.2113031598823,78.4021973213,78.5902060359886,78.7756878484112,78.9589310365645,79.1401680251389,79.3195868076999,79.4973400052187,79.6735520545474,79.8483249159671,80.0217426070612,80.193874805832,80.3647797153117,80.5345063419482,80.7030963084728,80.8705852969785,81.0370041981722,81.2023800270942,81.3667366531834,81.5300953827184
"5",4,74.7147689298044,75.0109731078259,75.284912631073,75.5409889854691,75.7826672141357,76.0126822023934,76.2331972285105,76.4459266406915,76.6522312894234,76.8531930886672,77.0496734743985,77.2423593672645,77.4317993924219,77.618432473976,77.8026104427798,77.9846159324088,78.1646765591817,78.3429761668344,78.5196637494183,78.6948605357801,78.8686656170916,79.0411604189267,79.2124122564593,79.3824771617504,79.5514021329121,79.7192269239626,79.8859854696589,80.0517070201708,80.216417045051,80.3801379537384,80.5428896701325
"6",5,73.7626713611824,74.0558880725638,74.3272022058242,74.5809396909947,74.8205093540295,75.0486037754487,75.2673540633324,75.4784498580342,75.6832328478702,75.882769939106,76.0779106943393,76.2693325405694,76.4575764267732,76.6430749967765,76.8261748792978,77.00715434333,77.1862372952684,77.3636043840636,77.5394018173358,77.7137483638731,77.8867409180208,78.0584589229728,78.2289678881407,78.3983221869924,78.5665672831906,78.7337415023494,78.8998774425586,79.065003097668,79.2291427521192,79.3923176940526,79.5545467838351
"7",6,72.8033981036591,73.0942380928811,73.3634548411738,73.615316513782,73.8531887861156,74.0797316609077,74.2970514089739,74.5068185583789,74.7103599565102,74.9087308796227,75.1027716900039,75.2931524637363,75.4804082141821,75.6649667382164,75.8471706592609,76.0272948950755,76.2055605119014,76.3821457202729,76.5571946072749,76.7308240745491,76.9031293529504,77.0741883873783,77.2440653243167,77.4128132864597,77.5804765807178,77.7470924557522,77.9126925012859,78.0773037624963,78.2409496277491,78.403650535995,78.5654245406634
"8",7,71.8387113784308,72.1276510952663,72.3951829719692,72.6455310689123,72.8820279626241,73.1073085719889,73.3234599865497,73.5321379416207,73.7346577813074,73.9320657614987,74.1251951096149,74.3147102063785,74.5011414741487,74.6849129699023,74.8663642360095,75.0457676214979,75.2233420241471,75.3992638003682,75.5736754313872,75.746692410324,75.9184087175067,76.0889011748412,76.2582329097055,76.4264561111751,76.5936142236668,76.7597436932239,76.9248753579824,77.0890355555764,77.2522470053216,77.4145295111759,77.5759005220604
"9",8,70.8701760361023,71.1575736106919,71.4237313185548,71.6728391646317,71.9082040397668,72.1324413166393,72.3476230891964,72.5553934999888,72.7570588640373,72.9536583519707,73.1460195879003,73.3348024844986,73.5205338694931,73.7036348798749,73.8844426611293,74.0632275725488,74.2402068403388,74.4155553990266,74.5894145048398,74.7618985819812,74.9331006663512,75.1030967354124,75.2719491530402,75.4397094109195,75.6064203106143,75.7721177007968,75.936831860607,76.1005886014602,76.263410144805,76.4253158215652,76.5863226296496
"10",9,69.8990901750357,70.1851916844643,70.4501894640666,70.6982461395754,70.9326478581571,71.1559941482554,71.3703449123714,71.5773348473414,71.7782629007016,71.9741624578334,72.1658565682542,72.3540015003933,72.5391211554241,72.7216342993543,72.9018761381808,73.0801154279263,73.256568054383,73.431407817901,73.6047750029814,73.77678319063,73.9475246757593,74.1170747765996,74.2854952636319,74.4528370885748,74.6191425567663,74.7844470568131,74.9487804380066,75.1121681074596,75.2746319041795,75.4361907955948,75.5968614327472
