"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,75.6419685325221,75.6030049335596,75.7655034993386,75.9996998092006,76.263890018124,76.5397224808594,76.8182625492501,77.0950553063652,77.367948124567,77.6360108596812,77.8989640607491,78.1568655027387,78.4099360328646,78.6584632476289,78.9027494606372,79.1430850046278,79.3797359233335,79.6129396694621,79.8429050815222,80.0698144802459,80.2938266560495,80.5150800706771,80.7336959206455,80.9497808979813,81.1634295896932,81.3747265146333,81.5837478249897,81.7905627117941,81.9952345568561,82.1978218717666,82.3983790606088
"2",1,76.8017568179621,76.7714751550725,76.8978736701698,77.0805462308254,77.2873387124082,77.5040768149151,77.7238194393642,77.9430700566452,78.1601092292915,78.3741670558198,78.5849835687261,78.7925664877672,78.9970556826976,79.1986475148153,79.3975534579391,79.5939784755988,79.7881107259551,79.9801176463465,80.1701455058529,80.358320723209,80.544751969788,80.7295325089783,80.9127424794641,81.0944509799465,81.2747178987083,81.4535954787656,81.631129633818,81.8073610413664,81.9823260429963,82.1560573813818,82.3285848011339
"3",2,75.8977925027962,75.8681786645059,75.9918137541067,76.17060356602,76.3731558077701,76.5856223997225,76.8012100320079,77.0164865228705,77.2297557350746,77.4402507541624,77.6477048864333,77.8521149173094,78.0536084127332,78.252369476658,78.4485980264356,78.6424884218683,78.8342192160115,79.0239491869692,79.2118167968198,79.3979414051057,79.5824252713993,79.7653558046978,79.9468077691741,80.1268453036165,80.3055236967571,80.4828909076743,80.6589888449097,80.8338544292313,81.0075204687988,81.1800163752535,81.3513687470063
"4",3,74.9776407416219,74.9485613596351,75.0699840023882,75.2456611470494,75.4448084631563,75.6538387237117,75.8660773621455,76.0781443985808,76.2883630729464,76.4959695307233,76.7006922786746,76.9025198500036,77.1015703884163,77.2980185518032,77.4920553233001,77.6838668517578,77.8736242469424,78.0614795749104,78.2475652462965,78.4319951494086,78.6148665747802,78.7962623943212,78.9762532063798,79.154899304014,79.3322524077969,79.5083571511582,79.6832523306833,79.8569719451808,80.0295460512978,80.2010014633882,80.3713623232385
"5",4,74.0439495161002,74.0152940234318,74.1349610987636,74.3081645854449,74.5046007277931,74.71088896501,74.9204493245707,75.1299438671278,75.3377118655965,75.542992503543,75.7455110148812,75.9452498446605,76.1423200532595,76.3368891409122,76.5291412945016,76.7192564047036,76.9073999034216,77.0937187355743,77.2783406952872,77.4613754981164,77.6429166458608,77.8230435515934,78.0018236378058,78.1793142650521,78.3555644318054,78.5306162326476,78.7045060862871,78.8772657563491,79.0489231919626,79.2195032152103,79.3890280805219
"6",5,73.0992194038767,73.0708979848753,73.1891807104106,73.3604301250173,73.5547197182998,73.7588315793979,73.9662606486879,74.173702689675,74.3795102095922,74.5829253391608,74.7836712171192,74.9817259057861,75.1771952381743,75.3702413787541,75.561043423444,75.7497765641262,75.9366019657253,76.1216627242095,76.3050831652804,76.4869698712321,76.6674135005957,76.8464908719389,77.0242670261055,77.2007971244628,77.3761281234611,77.550300211986,77.7233480223021,77.8953016368754,78.066187417518,78.2360286834277,78.4048462627956
"7",6,72.1457664256308,72.1177076410129,72.2349013552095,72.4046104014595,72.5972034487126,72.7995902211635,73.0053248591665,73.2111301233551,73.4153694571583,73.6172878022744,73.8166070846569,74.0133022948612,74.2074754766968,74.3992848760171,74.5889058270786,74.7765100401809,74.9622555156134,75.1462824951266,75.3287127343265,75.5096504961977,75.6891843369384,75.8673891585919,76.0443282439909,76.220055131821,76.3946152718581,76.5680474464048,76.7403849682109,76.911656676671,77.0818877582997,77.2511004176789,77.4193144232364
"8",7,71.1856963282819,71.1578447130245,71.274178778031,71.4426690240536,71.6339156883991,71.8349289381574,72.0393098601498,72.2438029386693,72.4467807039558,72.6474907453462,72.845654412083,73.0412445996841,73.2343606449164,73.425157946308,73.6138090839367,73.8004832105386,73.9853359995321,74.1685055951209,74.3501118667382,74.530257378307,74.7090291488774,74.8865006817406,75.0627339786278,75.2377813970752,75.4116872908786,75.5844894193443,75.7562201352488,75.9269073729293,76.0965754621697,76.2652457937879,76.4329373610383
"9",8,70.2208762337348,70.1931903638636,70.3088361411879,70.4763481190969,70.6665107024181,70.8664141898035,71.0696974127122,71.27312257646,71.475069853937,71.6747893039723,71.8720021260127,72.0666798093366,72.2589197575546,72.4488752928242,72.6367169685313,72.8226120483913,73.0067144858617,73.1891608762782,73.3700696992453,73.5495422701592,73.7276644818869,73.9045088159267,74.0801363406305,74.2545985548671,74.427939016992,74.6001947446209,74.7713973948412,74.9415742460073,75.1107490065269,75.27894247632,75.4461730848734
"10",9,69.25289001398,69.2253417185342,69.3404158106399,69.5071134875369,69.6963712076885,69.8953455975083,70.0977069339781,70.3002323635284,70.501308660812,70.7001881795216,70.8965922131405,71.0904912733834,71.2819813230752,71.4712141031732,71.658358609844,71.8435806502795,72.0270328510867,72.2088506143352,72.3891513515823,72.5680354218589,72.7455878584578,72.9218803657899,73.0969733047716,73.2709175254158,73.4437559864938,73.615525147608,73.7862561431056,73.9559757587601,74.1247072364224,74.2924709321425,74.4592848515328
"11",10,68.2830322322907,68.2556067887045,68.3701701906526,68.5361395991233,68.7245868584727,68.9227277294856,69.1242606189472,69.3259761215857,69.5262670269951,69.7243878524476,69.9200600775445,70.1132534299178,70.3040626626268,70.4926381714338,70.6791476206921,70.8637555693984,71.0466135068447,71.227855813212,71.407598986904,71.5859425710059,71.7629708671733,71.9387549199959,72.1133544911178,72.2868198820806,72.4591935457691,72.6305114716802,72.8008043542681,72.9700985651023,73.1384169538654,73.3057795035291,73.4722038633465
"12",11,67.313049187265,67.2857538925463,67.39977649951,67.5649757613294,67.7525674405546,67.9498300622884,68.1504917717779,68.3513572784149,68.5508255948903,68.7481533882402,68.9430622081074,69.1355208409004,69.325622662486,69.5135165604733,69.6993687152495,69.8833422982839,70.0655875349373,70.2462376685603,70.4254081797694,70.6031976999946,70.7796897112071,70.9549545166991,71.129051203023,71.3020294523351,71.4739311450154,71.6447917376373,71.8146414253439,71.9835061091585,72.1514081930622,72.3183672360064,72.4844004823505
"13",12,66.3429816638692,66.3158139707394,66.4293063044294,66.5937501145237,66.7805021305765,66.9769023817668,67.176708187293,67.3767381317368,67.5753973703938,67.7719447173812,67.966101826192,68.1578365910316,68.3472410639852,68.5344626770254,68.7196661758508,68.9030133896205,69.0846533208644,69.2647181133775,69.443322263863,69.6205635230127,69.7965245814878,69.9712750274762,70.1448732967561,70.3173684747946,70.4888018907468,70.6592084882958,70.8286179821956,70.9970558208453,71.1645439795372,71.33110160938,71.4967455652444
