"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,77.4095339237877,78.1908626116817,78.7242351035848,79.145105614723,79.5008238705745,79.8149026897922,80.100787889799,80.3667720849791,80.6182169029712,80.8587059121901,81.0906968653051,81.3159124571502,81.5355839043663,81.7506072424041,81.9616458975902,82.1691992706763,82.3736493564711,82.575292919509,82.7743640238637,82.9710500288028,83.1655030969772,83.3578485789985,83.5481911947551,83.7366196403931,83.9232100562227,84.1080286606476,84.2911337667156,84.4725773369911,84.6524061900251,84.8306629417769,85.007386743965
"2",1,78.1932608494252,78.8199913042432,79.2521273139458,79.5956330202236,79.887720439799,80.1469696020389,80.3840588859662,80.6056016097133,80.8158874067221,81.0177897087357,81.2132815193195,81.4037457948003,81.5901697185252,81.773269823091,81.9535743749311,82.1314786213156,82.3072824426321,82.4812164002581,82.6534600150849,82.8241547712598,82.9934134901765,83.1613271733389,83.3279700568608,83.4934033859834,83.6576782619324,83.8208378083849,83.9829188333007,84.1439531126097,84.3039683879053,84.4629891460469,84.6210372312486
"3",2,77.2623455908802,77.8791305679653,78.3051182584379,78.6441220688782,78.9326356883786,79.1888994889108,79.4234057903597,79.642657005313,79.8508727638853,80.0508803281113,80.2446210986978,80.4334556592699,80.6183548432581,80.8000228647801,80.978978434064,81.1556091773401,81.3302087392806,81.5030024585784,81.6741653899833,81.8438351283811,82.0121210549124,82.1791110874106,82.3448766670948,82.5094764826138,82.6729592787956,82.8353659939319,82.9967313989488,83.157085363244,83.3164538381165,83.4748596248036,83.6323229770536
"4",3,76.320497848286,76.9292021065482,77.3501693193858,77.6854833421745,77.9710587514068,78.2248614270846,78.4572330285489,78.6745860326649,78.8810832519247,79.0795144636527,79.2717954177255,79.4592685541227,79.6428914650718,79.8233584063287,80.0011803790476,80.1767388753955,80.3503225323723,80.5221525034478,80.6924002711231,80.8612003242648,81.0286592997997,81.1948626577175,81.3598796124708,81.5237668159178,81.6865711350945,81.8483317658371,82.00908185363,82.1688497450615,82.3276599598078,82.4855339494322,82.6424906923937
"5",4,75.3694805653112,75.971662100942,76.3885533751516,76.7208588791515,77.0040299865661,77.2558124087231,77.4864266817484,77.7022128561462,77.9072879408009,78.1044114837258,78.2954785555905,78.4818169839638,78.6643737143178,78.8438350125647,79.0207057104927,79.1953624050138,79.3680897481006,79.5391055717046,79.7085785301975,79.8766406585073,80.0433964290027,80.2089293652578,80.3733069286095,80.5365841678107,80.6988064717646,80.860011664069,81.0202316091394,81.1794934521522,81.3378205819095,81.4952333823152,81.6517498214234
"6",5,74.4109856086088,75.0079201391813,75.4215106423486,75.7513676058029,76.0325737915353,76.2826991298454,76.511867191592,76.7263599306791,76.9302575695171,77.1262953673033,77.3163517855145,77.5017429291739,77.6834072192255,77.8620245411088,78.0380948153958,78.2119907555909,78.3839938636999,78.5543193553738,78.7231336645107,78.890566904778,79.0567218577563,79.2216805370914,79.3855090387501,79.5482611637647,79.7099811507682,79.8707057551884,80.0304658435655,80.1892876243044,80.3471936032973,80.5042033296186,80.6603339798994
"7",6,73.4466098279005,74.0393202327409,74.4502327869342,74.7780917284535,75.0576868190875,75.3064477337499,75.534420430387,75.7478402522199,75.9507578649021,76.1458890019241,76.3350987783386,76.5196938925353,76.7006059409392,76.8785097171415,77.0539012375322,77.227150141922,77.3985354505818,77.5682703273143,77.7365194721329,77.9034115042943,78.0690478945857,78.233509489173,78.3968613303886,78.5591562576593,78.7204376236965,78.8807413613037,79.0400975682017,79.1985317304247,79.3560656721775,79.5127182969606,79.668506168279
"8",7,72.4778316190755,73.0671189608619,73.4758423107694,73.8020571797777,74.0803193655393,74.3279460625019,74.5549207598954,74.7674411835173,74.9695341042776,75.1638994600464,75.3523915739141,75.5363095500427,75.7165794901136,75.8938721034063,76.0686802892522,76.2413712465977,76.4122220363235,76.5814442118195,76.7492011200604,76.9156202203453,77.0808019708146,77.2448263192683,77.4077574998154,77.5696476159498,77.730539343388,77.8904679867824,78.0494630568372,78.2075494877581,78.3647485824746,78.5210787501181,78.6765560838272
"9",8,71.5059656870605,72.092435364836,72.4993399685593,72.824179540564,73.1013203310624,73.347987989292,73.5741149654252,73.7858681605371,73.9872547287016,74.1809616301204,74.3688343248373,74.5521656903565,74.7318773361057,74.9086366458986,75.0829339943467,75.255134615469,75.4255140034939,75.5942824333468,75.7616021855115,75.9275998112241,76.0923749808396,76.2560069471106,76.4185593217118,76.5800836434394,76.7406220699342,76.9002094260103,77.0588747743838,77.2166426282142,77.3735338925223,77.529566598692,77.6847564799265
"10",9,70.5320731740188,71.1161452730658,71.5214897783889,71.8451425380323,72.1213107851256,72.3671430594261,72.5925286726278,72.8036084042491,73.0043727560274,73.1974976633816,73.3848210591105,73.5676305397571,73.7468439143165,73.9231257635251,74.0969643439466,74.2687232505626,74.4386766792259,74.6070338527057,74.773956180082,74.9395694758926,75.1039727756655,75.267244775482,75.4294485911638,75.5906353136579,75.7508466911913,75.9101171703866,76.068475461507,76.2259457467944,76.382548618639,76.5383018115533,76.6932207756439
