"","H2","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1"
"1",0,75.9274686848211,76.1880526731731,76.4585693749202,76.7136383688186,76.9757157816238,77.2256128554521,77.480098219496,77.7248068634142,77.9723081588549,78.2118549126843,78.4528795015063,78.6873404514193,78.9223228594782,79.1518092263954,79.3811269690848,79.6057732641492,79.8297584498638,80.0497137300601,80.2686618301623,80.4840833308309,80.6982598578717,80.9093083912818,81.1189540167468,81.3257906784148,81.5311251831916,81.7339090253138,81.9351343749514,82.1340207939304,82.3313235558778,82.5264632059681,82.720016470447
"2",1,76.9157687599714,77.1209851963568,77.334846768785,77.53727463893,77.7460625188052,77.9459095161325,78.1502002278283,78.3473876754475,78.5475762178961,78.7420567017191,78.9384640499595,79.1302282555945,79.3231222460065,79.5121887849489,79.7017959014159,79.8882027833797,80.0747168485376,80.2585151355555,80.4421039266636,80.6233530754248,80.8041633950474,80.9829278598771,81.1610894424377,81.337436216005,81.5130647545441,81.6870616050875,81.8602611113652,82.0319753363934,82.2028399943808,82.3723375564554,82.5409531895741
"3",2,75.9990336900521,76.2002985022219,76.4102037686948,76.6090349991556,76.8142601192494,77.0108328683112,77.2119101618105,77.4061205035462,77.6034082583031,77.7951846703026,77.9889718667333,78.178282061077,78.3688083530811,78.5556493123138,78.7431161969491,78.9275057579329,79.1120847923649,79.2940553321668,79.4758943746578,79.655488132189,79.8347161108021,80.0119817361972,80.1887123077082,80.3637023299398,80.538036700074,80.7108056806615,80.8828347893207,81.0534379881476,81.2232442128211,81.3917366356465,81.5593951283624
"4",3,75.0686339691183,75.2667163787062,75.4734295793289,75.6693535390191,75.8716934305404,76.0656096520371,76.2640749151697,76.4558607873951,76.6507818082626,76.8403478481915,77.0319892551919,77.2192859438816,77.4078658976833,77.5928738990161,77.7785747960093,77.9612966458677,78.144272978102,78.3247268116824,78.5051111269129,78.6833259990603,78.8612334441365,79.0372458500267,79.2127776457962,79.3866289430394,79.559875051691,79.7316095589342,79.9026507401398,80.0723143430591,80.2412237468371,80.4088628843536,80.5757072921733
"5",4,74.1267892637109,74.3223291038155,74.5264865342265,74.7200777253222,74.9200975513049,75.1118729927695,75.3082287919554,75.4980524342339,75.6910538104564,75.8788231422022,76.068716557747,76.2543694534529,76.4413569998707,76.624862095932,76.8091118514961,76.9904603324948,77.1721139586793,77.3513133311819,77.5304918264964,77.7075612514462,77.8843693303517,78.0593361332362,78.2338655674468,78.4067626355558,78.5790948109064,78.7499586584388,78.9201665381357,79.089035873926,79.2571855121074,79.4241001854344,79.5902518996582
"6",5,73.1756096424247,73.3691284824916,73.5712493378531,73.7629769861891,73.9611387777968,74.1511954593664,74.3458533953871,74.5340937092558,74.7255422308039,74.9118544978274,75.1003267935024,75.2846399181873,75.4703263102976,75.6526002904896,75.8356583400676,76.0158761407001,76.1964380530624,76.3745994277521,76.5527776578891,76.7288945016855,76.9047860156087,77.0788788771185,77.2525683983314,77.4246638668813,77.5962263553542,77.7663551083655,77.9358576586735,78.1040530070793,78.2715563066393,78.4378531159027,78.6034125697634
"7",6,72.2170646544814,72.4089788625505,72.6094780270746,72.7997174470478,72.9963911038138,73.1850671910117,73.3783573575273,73.5653184557747,73.7555087363756,73.9406369410812,74.1279510264641,74.3111690602035,74.4957888316352,74.6770506657711,74.8591261183371,75.0384089237995,75.2180654356067,75.3953634507592,75.572707283162,75.7480271911655,75.9231496675643,76.0965071182809,76.2694878046322,76.4409048015671,76.6118139316777,76.7813168725335,76.9502172017091,77.1178354127651,77.284783638527,77.4505482820656,77.6155961367843
"8",7,71.2529583816818,71.443592531007,71.6427937692905,71.8318381472716,72.0273129056033,72.2148730629853,72.4070540273976,72.5929743149446,72.7821374802414,72.9662959348949,73.1526583196861,73.3349735511339,73.5187110956623,73.6991330004906,73.8803903596428,74.0588921385616,74.2377898542615,74.4143619227312,74.5910018502076,74.7656472416023,74.9401166707659,75.1128475722253,75.2852223628464,75.4560575079714,75.6264044785404,75.7953671881071,75.963745939658,76.1308626524102,76.2973269643683,76.4626261384117,76.6272250401229
"9",8,70.2848925393307,70.4744903533047,70.6726371384262,70.860707264385,71.0552012332312,71.2418452975291,71.4331125303739,71.6181724424065,71.8064836056108,71.9898348460734,72.1754022908979,72.3569608054906,72.5399563125461,72.7196693020841,72.9002337796845,73.0780717737831,73.2563223606178,73.432273166483,73.6083086051374,73.782372735584,73.9562774534505,74.1284646781487,74.300311891097,74.470638637985,74.6404927142865,74.8089801143237,74.9768983783855,75.1435707971373,75.3096049088617,75.4744888464686,75.6386858589939
"10",9,69.3142001204907,69.502928781264,69.700188536453,69.8874366081358,70.0811005004119,70.2669668891581,70.4574561028949,70.6417812050396,70.8293625074623,71.0120201585458,71.1969024939216,71.3778068660164,71.5601589801384,71.7392554353683,71.9192155012552,72.0964727137824,72.2741553812142,72.4495593197079,72.6250610488581,72.798610427426,72.9720135394747,73.1437163840731,73.3150921415791,73.4849632010416,73.6543741536939,73.8224329501439,73.989934724088,74.1562040873778,74.3218467529492,74.4863517215114,74.6501808414183
