"","H2","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1"
"1",0,76.2305397970663,76.5097749823308,76.7859522363835,77.0585957289239,77.327659517581,77.5932002085884,77.855297434209,78.1140345655651,78.3694940677204,78.6217564143223,78.8708998674121,79.117000467204,79.360132072437,79.6003664124847,79.8377731417337,80.0724198938866,80.3043723355853,80.5336942191816,80.7604474345878,80.9846920601742,81.2064864126891,81.4258870961821,81.6429490499195,81.8577255952808,82.0702684816308,82.2806279311648,82.4888526827249,82.6949900345921,82.8990858862562,83.1011847791723,83.30132993651
"2",1,77.1545183154877,77.3754235854642,77.5948033236931,77.81226006428,78.0277341679844,78.2412471124332,78.4528388873815,78.6625527616624,78.8704316111864,79.0765170675274,79.2808493535142,79.483467284977,79.6844083115188,79.8837085653134,80.081402910409,80.2775249907482,80.4721072765157,80.6651811087632,80.8567767423477,81.0469233872344,81.2356492482211,81.42298156314,81.6089466395924,81.7935698902687,81.9768758669073,82.1588882929414,82.3396300948827,82.5191234324913,82.6973897277746,82.8744496928626,83.0503233568009
"3",2,76.2332004731586,76.4500482169075,76.6655672977337,76.8793585544364,77.0913544401373,77.3015674396719,77.5100286472343,77.7167727934163,77.921834618262,78.1252480152979,78.3270458516233,78.5272599522314,78.7259211235176,78.9230591854399,79.118703004899,79.3128805285462,79.5056188146064,79.6969440636445,79.8868816482798,80.0754561418768,80.2626913462435,80.4486103183673,80.6332353962219,80.8165882236739,80.9986897745197,81.1795603756823,81.3592197295943,81.5376869357971,81.7149805117813,81.8911184130948,82.0661180527444
"4",3,75.2991095238786,75.512682458143,75.725079482476,75.9359006548133,76.1450726083952,76.3526010933586,76.5585105091725,76.7628291439191,76.9655855860357,77.1668078668221,77.3665232700341,77.564758304038,77.7615387131746,77.9568894981854,78.150834938338,78.3433986134641,78.5346034254848,78.7244716193308,78.9130248032488,79.1002839685022,79.2862695084812,79.471001237238,79.654498407461,79.8367797279045,80.0178633802894,80.197767035688,80.3765078704085,80.5541025813935,80.7305674011454,80.9059181121944,81.08017006112
"5",4,74.354315225803,74.5652651392406,74.7751557745097,74.9835870923894,75.1904815719086,75.395840042199,75.5996819799746,75.8020309208095,76.0029109038705,76.2023456150597,76.4003581899324,76.5969711777346,76.7922065445806,76.9860856859341,77.1786294410947,77.3698581079089,77.559791457273,77.7484487473257,77.9358487373098,78.1220097011024,78.3069494404156,78.4906852976756,78.6732341685839,78.8546125143668,79.0348363737192,79.2139213744491,79.3918827448268,79.5687353246474,79.7444935760098,79.9191715938198,80.0927831160232
"6",5,73.400790614055,73.6096494351368,73.8175366418149,74.0240525862027,74.2291168877393,74.4327268757168,74.6348984967012,74.8356518645725,75.0350077332204,75.2329866417327,75.4296087134251,75.624893614761,75.8188605532808,76.0115282849596,76.2029151237509,76.3930389515413,76.5819172280825,76.7695670007917,76.956004914394,77.1412472204007,77.3253097864193,77.5082081052977,77.6899573040998,77.8705721529139,78.0500670734961,78.2284561477463,78.4057531260196,78.5819714352748,78.7571241870592,78.9312241853325,79.104283934131
"7",6,72.4403833266185,72.6475761879694,72.8538623524148,73.0588428927709,73.2624355469858,73.4646352289448,73.6654554216211,73.8649138389546,74.0630289221493,74.2598189877124,74.455302024527,74.6494956497677,74.842417103669,75.0340832537686,75.2245106014319,75.4137152888908,75.6017131063619,75.7885194991341,75.9741495745955,76.15861810919,76.3419395552988,76.5241280480429,76.7051974120037,76.8851611678605,77.0640325389415,77.2418244576869,77.4185495720214,77.5942202516372,77.7688485941833,77.9424464313616,78.1150253349295
"8",7,71.4747910608275,71.6806497861969,71.8856493164287,72.0893916468481,72.291793346156,72.4928477127771,72.6925665565581,72.8909659511532,73.088062750211,73.2838737386081,73.4784154288031,73.6717040151507,73.8637553669007,74.0545850306772,74.244208235278,74.4326398970409,74.6198946253399,74.8059867281009,74.9909302173071,75.1747388144825,75.3574259561459,75.5390047992343,75.7194882264871,75.8988888517916,76.0772190254843,76.2544908396052,76.4307161331025,76.6059064969855,76.7800732794223,76.9532275907812,77.1253803086136
"9",8,70.5055218285418,70.710296015042,70.9142457593418,71.1169740780122,71.3183968567082,71.5185063347747,71.7173132022232,71.9148324263081,72.1110797845515,72.3060710191869,72.4998216335007,72.6923468453836,72.8836615794093,73.0737804683718,73.2627178571584,73.4504878072087,73.6371041011275,73.8225802473392,74.0069294847554,74.1901647874409,74.372298869275,74.5533441886003,74.7333129528563,74.9122171231931,75.0900684190621,75.2668783227793,75.4426580840588,75.617418724513,75.7911710421171,75.9639256156346,76.1356928090032
"10",9,69.5338199092032,69.7376812660337,69.9407445855741,70.1426139252853,70.3432047762995,70.5425086589616,70.7405354846174,70.9372994449685,71.1328155596512,71.3270988337291,71.5201640543437,71.7120257439294,71.9026981518086,72.0921952552173,72.2805307626679,72.4677181179058,72.6537705040285,72.8387008476574,73.0225218231311,73.2052458567084,73.3868851307755,73.5674515880509,73.7469569357848,73.9254126499487,74.1028299794103,74.2792199500924,74.4545933691097,74.6289608288824,74.8023327112232,74.9747191913948,75.1461302421355
"11",10,68.5606330585537,68.7636731407461,68.965937561472,69.167031396165,69.3668698626416,69.565443912721,69.7627628319601,69.9588401856168,70.1536903794733,70.3473278202084,70.5397667124509,70.7310210118109,70.9211044161525,71.1100303662708,71.2978120489008,71.4844624003253,71.6699941101496,71.8544196251343,72.037751153056,72.2200006665827,72.4011799071596,72.5813003888982,72.7603734024658,72.9384100189714,73.1154210938425,73.2914172706914,73.4664089851662,73.6404064687835,73.8134197527408,73.985458671705,74.1565328675751
"12",11,67.5871368716321,67.789314506881,67.9907416767419,68.1910244247334,68.3900775806298,68.5878914023126,68.7844744257467,68.9798394702287,69.1740002129273,69.366970352105,69.5587634044371,69.7493926576977,69.9388711615511,70.1272117277206,70.3144269324937,70.5005291198316,70.6855304046577,70.8694426762135,71.0522776014516,71.2340466284558,71.4147609898789,71.5944317063964,71.773069590169,71.9506852483116,72.1272890863631,72.3028913117552,72.4775019372754,72.6511307845213,72.8237874873435,72.9954814952735,73.1662220769354
"13",12,66.6136212181131,66.8149512011824,67.0155550144519,67.2150396812513,67.4133196783011,67.610384608614,67.8062422973207,68.0009048552303,68.1943852669061,68.3866965567369,68.5778515865604,68.7678630080537,68.956743253091,69.1445045334541,69.3311588428784,69.5167179597116,69.7011934497588,69.8845966692038,70.0669387675773,70.2482306907597,70.4284831840114,70.6077067950275,70.7859118770099,70.963108591754,71.1393069127462,71.3145166282678,71.488747344501,71.6620084886358,71.8343093119729,72.0056588930197,72.1760661405783
"14",13,65.6409254669524,65.8413996153364,66.0411715385626,66.2398492839848,66.4373470066714,66.6336536818539,66.8287764488459,67.0227267335322,67.2155168501746,67.407159170418,67.5976659212751,67.7870491372673,67.9753206503949,68.1624920894305,68.3485748815476,68.5335802545676,68.7175192393998,68.9004026725655,69.0822411987764,69.2630452735546,69.4428251658894,69.621590960924,69.799352562668,69.9761196967332,70.1519019130855,70.3267085888119,70.5005489308972,70.673431979008,70.8453666082803,71.0163615321079,71.1864253049287
"15",14,64.6697983399309,64.8693935489219,65.0683103024388,65.2661577469938,65.4628497549944,65.65837470276,65.8527390690436,66.0459536181097,66.2380300157259,66.4289800012581,66.6188151860953,66.8075470056024,66.9951867087533,67.1817453570587,67.3672338258256,67.5516628060388,67.7350428064404,67.9173841557005,68.0986970046471,68.2789913285445,68.4582769294135,68.6365634383893,68.8138603181104,68.9901768651364,69.1655222123894,69.3399053316157,69.5133350358638,69.6858199819756,69.857368673087,70.0279894611357,70.1976905493731
"16",15,63.7010953141307,63.8997806189615,64.0978107841463,64.2947961657946,64.4906504159544,64.6853613605143,64.8789348609898,65.0713810604216,65.2627110141714,65.4529358653233,65.6420666436627,65.8301142175255,66.0170892831734,66.2030023634297,66.3878638086398,66.5716837982557,66.7544723426234,66.9362392848616,67.1169943028071,67.2967469110106,67.4755064627792,67.6532821522603,67.8300830165613,68.0059179379021,68.1807956457957,68.3547247192535,68.5277135890109,68.6997705397711,68.8709037124622,69.0411211065066,69.2104305820978
"17",16,62.7367379582694,62.9345121427491,63.1316512001991,63.3277668667257,63.5227727452212,63.7166562762784,63.909422862733,64.1010821786455,64.2916448151699,64.4811214594829,64.6695226945126,64.8568589508693,65.0431404961411,65.2283774334088,65.4125797020765,65.5957570793234,65.7779191817557,65.9590754671516,66.1392352362709,66.3184076347158,66.4966016548382,66.6738261376888,66.8500897750023,67.0254011112157,67.1997685455154,67.3732003339099,67.545704591323,67.7172892937071,67.8879622801695,68.0577312551131,68.2266037903848
"18",17,61.7753721769408,61.9721959605201,62.1684045285724,62.363611101145,62.557729275421,62.7507461343523,62.9426666450182,63.1335000334489,63.3232564462723,63.5119461333714,63.6995792484375,63.8861658010264,64.0717156458084,64.2562384809958,64.4397438490746,64.6222411381527,64.8037395835074,64.9842482692243,65.1637761298991,65.3423319523906,65.5199243776196,65.6965619024085,65.8722528813568,66.0470055287497,66.2208279204956,66.3937279960882,66.5657135605906,66.7367922866384,66.9069717164574,67.076259263895,67.2446622164604
"19",18,60.8168861172238,61.0127155152711,61.2079498493451,61.402203922426,61.5953913569077,61.7874988918926,61.9785310678483,62.1684966703403,62.3574054082247,62.5452671002358,62.7320914764299,62.9178881303971,63.1026665084881,63.286435908174,63.4692054786973,63.6509842223352,63.8317809958597,64.0116045120871,64.1904633414893,64.3683659138548,64.5453205199944,64.7213353134866,64.8964183124584,65.070577401398,65.2438203329966,65.4161547300137,65.5875880871644,65.7581277730256,65.9277810319565,66.096554986033,66.264456636991
"20",19,59.8610647783857,60.0558548002698,60.250070349392,60.4433279037669,60.6355411332621,60.8266964381502,61.0167979328816,61.2058539618594,61.3938737949486,61.5808668181923,61.7668423362027,61.9518095245517,62.1357774189894,62.3187549137473,62.50075076212,62.6817735776548,62.8618318355339,63.0409338740451,63.2190878961122,63.3963019708728,63.5725840353003,63.747941895864,63.922383230223,64.0959155889524,64.2685463972956,64.4402829569416,64.6111324478227,64.7811019299304,64.9501983451459,65.1184285190841,65.2857991629461
"21",20,58.9075938442295,59.101301797979,59.294456401683,59.4866758905896,59.6778739978323,59.8680367844338,60.0571679343912,60.2452753454593,60.432367842703,60.6184543735231,60.8035438110448,60.9876449067043,61.1707662794669,61.352916414082,61.5341036616012,61.7143362404999,61.8936222379877,62.071969611406,62.2493861896817,62.4258796748284,62.6014576434886,62.776127548513,62.9498967205727,63.1227723698021,63.2947615874674,63.4658713476584,63.6361085090006,63.8054798163852,63.9739919027123,64.1416512906474,64.3084643943873
