"","H2","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1"
"1",0,75.9160965485501,76.1831192960804,76.4467270554106,76.7069695230717,76.9639184925258,77.2176495575708,77.4682377089981,77.7157562994949,77.9602768251832,78.2018689050761,78.4406003083577,78.6765369930375,78.9097431470912,79.1402812298943,79.368212013379,79.5935946227474,79.8164865766707,80.0369438269346,80.2550207975008,80.4707704229582,80.6842441863432,80.8954921563126,81.1045630236503,81.3115041371009,81.5163615385167,81.7191799973144,81.9200030442327,82.1188730043925,82.3158310296539,82.5109171302739,82.7041702058648
"2",1,76.9068304525555,77.1170928509351,77.3254669108913,77.531972399586,77.7366465025245,77.9395295524269,78.140661594364,78.3400815868905,78.5378272435515,78.7339350290651,78.9284401919783,79.1213768050517,79.3127778064078,79.5026750397779,79.6910992934739,79.8780803380289,80.0636469625206,80.2478270096142,80.4306474093646,80.6121342118154,80.792312618435,80.9712070124286,81.1488409879606,81.3252373783276,81.5004182831142,81.6744050943691,81.8472185218326,82.0188786172507,82.1894047978061,82.3588158686978,82.5271300448989
"3",2,75.990271015214,76.196479679845,76.4009940295696,76.6038251623926,76.8050016233745,77.0045554151324,77.2025186156074,77.3989225787816,77.5937977638635,77.7871737168548,77.9790790885288,78.1695416605825,78.3585883730994,78.5462453516679,78.7325379337701,78.9174906943648,79.1011274706621,79.2834713861087,79.4645448736023,79.6443696979592,79.8229669776548,80.0003572058608,80.1765602707979,80.3515954754253,80.525481556488,80.6982367029409,80.8698785737686,81.0404243152211,81.2098905774821,81.3782935307898,81.5456488810252
"4",3,75.0600126065819,75.2629568201411,75.4643572227462,75.6642184606233,75.8625626157257,76.0594154440951,76.254803037785,76.4487510270328,76.6412844012385,76.8324274803941,77.0222039227936,77.2106367411988,77.3977483206844,77.5835604365165,77.7680942716716,77.9513704339098,78.1334089723856,78.3142293938039,78.493850678128,78.6722912938516,78.8495692128433,79.025701924775,79.2007064511442,79.3745993588999,79.5473967736824,79.719114392687,79.8897674971606,80.0593709645418,80.2279392802525,80.3954865491519,80.5620265066602
"5",4,74.1182806799228,74.3186169428557,74.5175242916819,74.7150026944351,74.9110695157302,75.1057459380263,75.2990536603456,75.4910141031533,75.6816482242577,75.8709764835437,76.0590188438154,76.245794780253,76.4313232917805,76.6156229127073,76.7987117242505,76.9806073658399,77.1613270461875,77.3408875541155,77.5193052691473,77.6965961718631,77.872775854023,78.0478595284616,78.2218620387577,78.3947978686816,78.5666811514252,78.7375256786179,78.9073449091306,79.0761519776742,79.2439597031943,79.4107805970669,79.5766268710977
"6",5,73.167190589506,73.3654540416058,73.5623749485267,73.7579499822116,73.9521931545238,74.1451223845101,74.3367562276089,74.5271130839551,74.716211011463,74.9040676863993,75.0907003998704,75.276126062999,75.460361214142,75.6434220265283,75.8253243159177,76.0060835481831,76.1857148467906,76.3642330001709,76.5416524689785,76.7179873932396,76.8932515993848,77.06745860717,77.2406216364815,77.4127536140279,77.5838671799168,77.7539746941189,77.9230882428163,78.0912196446395,78.2583804567901,78.4245819810514,78.5898352696882
"7",6,72.2087165831946,72.4053344124353,72.6006736940042,72.7947288508793,72.9875115800153,73.1790375359027,73.3693230849424,73.5583845174686,73.7462378595538,73.9328988311943,74.1183828402115,74.3027049848624,74.4858800585575,74.6679225550761,74.8488466738812,75.0286663254335,75.2073951364786,75.3850464552975,75.561633356917,75.7371686482757,75.9116648733432,76.0851343181917,76.2575890160144,76.4290407520929,76.599501068708,76.7689812699952,76.9374924267412,77.1050453811223,77.2716507513813,77.4373189364429,77.6020601204677
"8",7,71.2446668403486,71.4399720432248,71.6340455970363,71.8268804411322,72.0184867199064,72.2088785592786,72.3980708418274,72.5860784225096,72.7729159401523,72.9585977744077,73.143138038238,73.3265505790961,73.5088489822411,73.6900465745888,73.8701564286971,74.0491913667909,74.2271639647954,74.4040865563703,74.5799712369379,74.754829867703,74.9286740796591,75.1015152775801,75.2733646439923,75.444233143125,75.6141315248373,75.7830703285188,75.9510598869606,76.1181103301966,76.2842315893114,76.4494334002146,76.6137253073782
"9",8,70.2766466843639,70.4708892978294,70.6639346701331,70.8557747831253,71.0464187562924,71.2358796984323,71.4241715000243,71.61130805242,71.7973030595481,71.9821699943192,72.1659220903943,72.3485723426197,72.5301335096058,72.7106181168523,72.890038460027,73.0684066082981,73.2457344076925,73.4220334844703,73.5973152485095,73.7715908966983,73.944871416328,74.1171675884884,74.2884899914565,74.4588490040806,74.628254809153,74.7967173967725,74.9642465676902,75.1308519366401,75.296542935649,75.4613288173262,75.6252186581301
"10",9,69.3059925230541,69.4993440470076,69.6915245727831,69.8825254420255,70.0723550705355,70.2610258628866,70.4485510194726,70.634943758872,70.8202171299877,71.0043839682382,71.1874568869629,71.3694482774634,71.5503703111857,71.7302349424533,71.9090539113603,72.0868387467246,72.2636007690733,72.4393510936517,72.6141006334485,72.7878601022362,72.9606400176185,73.1324507040862,73.3033022960751,73.4732047410234,73.6421678024268,73.8102010628885,73.9773139271593,74.1435156251698,74.3088152150473,74.4732215861199,74.6367434619028
