"Age","qx","px","lx","dx","Lx","Tx","ex"
0,0.00984659399370389,0.990153406006296,1e+05,984.659399370389,99507.6703003148,8421678.89418446,84.2167889418446
1,0.000310845947798244,0.999689154052202,99015.3406006296,30.7785173955686,98999.9513419318,8322171.22388415,84.0493116864684
2,0.000258140137338844,0.999741859862661,98984.562083234,25.5518884505914,98971.7861390087,8223171.27254222,83.075290726927
3,0.00021634278229573,0.999783657217704,98959.0101947834,21.409067598771,98948.3056609841,8124199.48640321,82.0966122277512
4,0.000184372793644527,0.999815627206356,98937.6011271847,18.2414019163069,98928.4804262265,8025251.18074222,81.1142688857569
5,0.000161379585818751,0.999838620414181,98919.3597252684,15.9635653019199,98911.3779426174,7926322.700316,80.1291347045715
6,0.000146636606634627,0.999853363393365,98903.3961599665,14.5028583975377,98896.1447307677,7827411.32237338,79.1419872954951
7,0.000139145562638856,0.999860854437361,98888.8933015689,13.7599506971806,98882.0133262203,7728515.17764261,78.1535207808822
8,0.000136620277630656,0.999863379722369,98875.1333508718,13.5083481691642,98868.3791767872,7629633.16431639,77.1643274274191
9,0.000135002711240744,0.999864997288759,98861.6250027026,13.3465874130306,98854.9517089961,7530764.78513961,76.1748027602595
10,0.000130002361157933,0.999869997638842,98848.2784152896,12.8505095903844,98841.8531604944,7431909.83343061,75.1850204432196
11,0.000129507134398297,0.999870492865602,98835.4279056992,12.7998930450966,98829.0279591766,7333067.98027012,74.1947309346072
12,0.000131620282274873,0.999868379717725,98822.6280126541,13.0070621941703,98816.124481557,7234238.95231094,73.2042761642061
13,0.000136905324241477,0.999863094675759,98809.6209504599,13.5275631944002,98802.8571688627,7135422.82782938,72.2138467812448
14,0.000145183957310867,0.999854816042689,98796.0933872655,14.3436078048172,98788.9215833631,7036619.97066052,71.2236661330125
15,0.000167408424605695,0.999832591575394,98781.7497794607,16.5368971103734,98773.4813309055,6937831.04907716,70.2339355656941
16,0.000176873973471263,0.999823126026529,98765.2128823503,17.4689956432365,98756.4783845287,6839057.56774625,69.24561156865
17,0.000184594783110828,0.999815405216889,98747.7438867071,18.2283183654503,98738.6297275244,6740301.08936172,68.2577730291727
18,0.00019054118022773,0.999809458819772,98729.5155683416,18.8120384197038,98720.1095491318,6641562.4596342,67.2702830698773
19,0.000194687252914356,0.999805312747086,98710.7035299219,19.2177157034839,98701.0946720702,6542842.35008507,66.2830079830375
20,0.000190907288374391,0.999809092711626,98691.4858142184,18.8409239424322,98682.0653522472,6444141.255413,65.2958175900174
21,0.000192985788613404,0.999807014211387,98672.644890276,19.0424181887202,98663.1236811817,6345459.19006075,64.3081899458244
22,0.000198420470542302,0.999801579529458,98653.6024720873,19.5748942232048,98643.8150249757,6246796.06637957,63.3205063965811
23,0.000207711139375152,0.999792288860625,98634.0275778641,20.4873862493583,98623.7838847394,6148152.25135459,62.3329737447971
24,0.000220840000630465,0.99977915999937,98613.5401916147,21.7778142780886,98602.6512844757,6049528.46746985,61.3458198104955
25,0.000236666262324823,0.999763333737675,98591.7623773367,23.3333438978613,98580.0957053877,5950925.81618538,60.3592599695055
26,0.000247887457062613,0.999752112542937,98568.4290334388,24.4338772197557,98556.2120948289,5852345.72047999,59.3734299903939
27,0.000263851537581097,0.999736148462419,98543.995156219,26.0009846413525,98530.9946638984,5753789.50838516,58.3880275938056
28,0.000284778628774289,0.999715221371226,98517.9941715777,28.0558192897753,98503.9662619328,5655258.51372126,57.4033054699849
29,0.000311251118826709,0.999688748881173,98489.9383522879,30.6551035053233,98474.6108005352,5556754.54745933,56.4195149313975
30,0.000332776516665666,0.999667223483334,98459.2832487826,32.7649373129281,98442.9007801261,5458279.93665879,55.4369253620002
31,0.000353327838875601,0.999646672161124,98426.5183114697,34.7768290030414,98409.1298969681,5359837.03587867,54.4552131664103
32,0.000384012320600388,0.9996159876794,98391.7414824666,37.7836409745954,98372.8496619793,5261427.9059817,53.4742837834544
33,0.000424870506004613,0.999575129493995,98353.957841492,41.7876958356711,98333.0639935742,5163055.05631972,52.4946343759805
34,0.000479260429182508,0.999520739570817,98312.1701456563,47.117132857871,98288.6115792274,5064721.99232615,51.5167347523954
35,0.000524485563334053,0.999475514436666,98265.0530127985,51.5386016854682,98239.2837119557,4966433.38074692,50.5411967782694
36,0.000561347303036684,0.999438652696963,98213.514411113,55.1318914364328,98185.9484653948,4868194.09703496,49.5674564363631
37,0.000615946310619408,0.999384053689381,98158.3825196766,60.4602935693634,98128.1523728919,4770008.14856957,48.59501579107
38,0.000690043966388102,0.999309956033612,98097.9222261072,67.6918793473346,98064.0762864335,4671879.99619668,47.6246579966128
39,0.000786618948422822,0.999213381051577,98030.2303467599,77.1124367090152,97991.6741284053,4573815.91991024,46.657198536935
40,0.000876042775082015,0.999123957224918,97953.1179100508,85.8111212418568,97910.2123494299,4475824.24578184,45.6935352470549
41,0.000954732728399829,0.9990452672716,97867.306788809,93.4371208316227,97820.5882283932,4377914.03343241,44.733161431321
42,0.00105338763978552,0.998946612360214,97773.8696679774,102.993785802248,97722.3727750762,4280093.44520401,43.7754326359225
43,0.00117298661557015,0.99882701338443,97670.8758821751,114.566630140804,97613.5925671047,4182371.07242894,42.8210665119285
44,0.00131382580419233,0.998686174195808,97556.3092520343,128.17199645709,97492.2232538058,4084757.47986183,41.8707668543401
45,0.00145554803118313,0.998544451968817,97428.1372555772,141.811333364195,97357.2315888951,3987265.25660803,40.9251923409813
46,0.0015934863350303,0.99840651366497,97286.325922213,155.02443094235,97208.8137067418,3889908.02501913,39.9841189205704
47,0.00173459509691162,0.998265404903088,97131.3014912707,168.483479323402,97047.059751609,3792699.21131239,39.0471367425592
48,0.00187553368018225,0.998124466319818,96962.8180119473,181.857030906789,96871.8894964939,3695652.15156078,38.1141165998849
49,0.00201529659089594,0.997984703409104,96780.9609810405,195.042340728724,96683.4398106761,3598780.26206429,37.1847957034576
50,0.00214338509380467,0.997856614906195,96585.9186403117,207.020818285075,96482.4082311692,3502096.82225361,36.2588757404224
51,0.00226994227145884,0.997730057728541,96378.8978220267,218.77453424283,96269.5105549053,3405614.41402244,35.3356854143658
52,0.00242229661600575,0.997577703383994,96160.1232877838,232.928341234695,96043.6591171665,3309344.90346754,34.4149403132884
53,0.00260097227983872,0.997399027720161,95927.1949465491,249.503974938659,95802.4429590798,3213301.24435037,33.4972918382616
54,0.00280504231436684,0.997194957685633,95677.6909716105,268.379971716282,95543.5009857523,3117498.80139129,32.5833406903216
55,0.00289540994307117,0.997104590056929,95409.3109998942,276.249067730664,95271.1864660289,3021955.30040554,31.6735889687841
56,0.00298328688161853,0.997016713118381,95133.0619321635,283.809215670427,94991.1573243283,2926684.11393951,30.7641113877575
57,0.00322658982322687,0.996773410176773,94849.2527164931,306.03963355571,94696.2328997153,2831692.95661518,29.854668070809
