x;X1977;X1978;X1979;X1980;X1981;X1982;X1983;X1984;X1985;X1986;X1987;X1988;X1989;X1990;X1991;X1992;X1993;X1994;X1995;X1996;X1997;X1998;X1999;X2000;X2001;X2002;X2003;X2004;X2005;X2006;X2007;X2008;X2009;X2010;X2011;X2012;X2013;X2014
0;0,136421174;0,121531958;0,116214955;0,113059234;0,106771163;0,094021568;0,088958289;0,090076412;0,083333333;0,075364543;0,069065403;0,066248249;0,063876993;0,061627398;0,059414097;0,057427037;0,059308072;0,058460272;0,059626178;0,058566209;0,056941336;0,039463621;0,041024594;0,039151713;0,039671613;0,036763583;0,035209118;0,032706243;0,032974852;0,028778219;0,028022197;0,027266738;0,026958549;0,025521572;0,0249371;0,024189059;0,023881805;0,023779408
1;0,022113211;0,01661302;0,019529088;0,021537583;0,020222854;0,018648175;0,007393632;0,007097167;0,005814852;0,004895998;0,004165589;0,003655623;0,003058511;0,003016832;0,002698456;0,002518691;0,002727579;0,003117171;0,003053361;0,00257694;0,00270459;0,002333489;0,002210888;0,002135656;0,001774646;0,001798221;0,001918819;0,00186475;0,001789325;0,001491431;0,001486507;0,00148159;0,001392769;0,001211925;0,001229471;0,001001625;0,001156672;0,001183593
2;0,016419502;0,012787906;0,014417194;0,015564657;0,014621263;0,013464835;0,005956615;0,005932107;0,004878367;0,003977908;0,003382418;0,002974047;0,002545696;0,002520278;0,002279765;0,002145694;0,002307863;0,002477957;0,002444459;0,002164883;0,002256789;0,001963369;0,001834347;0,001803902;0,00154871;0,00152597;0,001543319;0,001479905;0,001421141;0,001256519;0,001233558;0,001210599;0,001160295;0,001043717;0,001023524;0,000930932;0,000989961;0,000967051
3;0,011881211;0,009749856;0,010354827;0,0108176;0,010174858;0,009364263;0,004833979;0,004967572;0,004095162;0,003253934;0,002762148;0,002433997;0,002132135;0,00210647;0,001922882;0,001820001;0,001949046;0,001975284;0,001966103;0,001817963;0,001878737;0,001647356;0,001518826;0,001514946;0,00134052;0,001293528;0,001243614;0,001170996;0,001129181;0,001056476;0,00102512;0,000993764;0,000961366;0,000892422;0,000850214;0,000838233;0,000843245;0,000794767
4;0,008406703;0,007419658;0,007250319;0,007199296;0,006786444;0,006248023;0,003979521;0,004182642;0,003453039;0,002698475;0,002284348;0,002017973;0,001806967;0,001769106;0,001625003;0,001541764;0,001647735;0,001589303;0,001599417;0,001531388;0,001565351;0,001382559;0,001259162;0,001268041;0,001153007;0,001098587;0,001010553;0,000929144;0,000903723;0,000889424;0,000856814;0,000824203;0,000794841;0,00075956;0,000707727;0,000735348;0,000716984;0,000661084
5;0,005868014;0,005704099;0,004984227;0,004573016;0,004324955;0,003989786;0,003347917;0,00355592;0,002938956;0,002286479;0,001929;0,001708861;0,001559434;0,001501575;0,00138283;0,001310408;0,001400286;0,001301459;0,001326735;0,001300333;0,001311454;0,001165844;0,001050228;0,001062005;0,000988482;0,000938686;0,000835355;0,000745797;0,000735504;0,00075334;0,000724373;0,000695408;0,000659322;0,000646201;0,000594093;0,000632473;0,000611319;0,000560679
6;0,004118776;0,004504374;0,003423957;0,00278233;0,002643021;0,002450631;0,00289616;0,003066257;0,002539514;0,001994096;0,001677002;0,001490327;0,001379148;0,001297172;0,00119273;0,001124761;0,001202962;0,001094895;0,001131994;0,001120161;0,001111981;0,000993994;0,000887072;0,000895327;0,000848708;0,000811315;0,00070976;0,000612867;0,000615857;0,000646139;0,000623739;0,000601342;0,000553237;0,000553024;0,000507282;0,000538251;0,00052614;0,000488651
7;0,003008844;0,003722792;0,002435509;0,00166715;0,001591082;0,001491177;0,00258471;0,002693415;0,002241371;0,001799149;0,001510508;0,001347084;0,001256251;0,001149232;0,001050824;0,00098312;0,001052043;0,000954661;0,001000932;0,000986498;0,000962069;0,000863771;0,000765;0,000766231;0,000734934;0,000713964;0,000626118;0,000522819;0,000536795;0,000565713;0,000551106;0,000536499;0,000474869;0,000480341;0,000445219;0,000459755;0,000461112;0,000440555
8;0,002393021;0,00326619;0,001890368;0,001073526;0,001025876;0,000978758;0,00237761;0,002417908;0,00203101;0,001681025;0,001412802;0,001264757;0,001181243;0,001050962;0,000952822;0,000883085;0,00094364;0,000867631;0,000920976;0,000895073;0,000856909;0,00077178;0,000679449;0,000672537;0,000647758;0,000643998;0,000577298;0,000468594;0,000490937;0,000509834;0,000502825;0,000495817;0,000422269;0,000428004;0,000405713;0,000402384;0,000415581;0,000412325
9;0,002138736;0,003050136;0,001671677;0,000861515;0,0008174;0,000793397;0,002243641;0,002222009;0,001895566;0,001621385;0,00136889;0,0012304;0,001145427;0,000995841;0,000894378;0,000821882;0,000874066;0,000822928;0,000881685;0,000842088;0,000792103;0,000714765;0,000626272;0,000611922;0,000587355;0,000598898;0,000556927;0,000443823;0,000471719;0,000476341;0,000475601;0,000474863;0,000393432;0,00039556;0,00038661;0,000370021;0,000388732;0,000400438
10;0,002384677;0,003185114;0,001900643;0,001159255;0,001086172;0,001045486;0,002233088;0,00216048;0,00187996;0,001653741;0,001407447;0,001269115;0,001170748;0,001006822;0,000896815;0,000820088;0,000865789;0,000843645;0,000905626;0,000848884;0,000789742;0,000711872;0,000623124;0,000602147;0,000569647;0,000593226;0,00057855;0,000461638;0,000491456;0,000477279;0,000480836;0,000484393;0,000399594;0,000393411;0,000397555;0,000373247;0,000390315;0,000413514
11;0,002375347;0,003132101;0,001914667;0,00121934;0,001134173;0,001093705;0,002126526;0,002036407;0,001824562;0,001635964;0,001408174;0,001275749;0,001172377;0,00100197;0,000888666;0,000812346;0,000847867;0,000841044;0,00090634;0,000848194;0,000778333;0,000702127;0,000611006;0,000587931;0,000551683;0,000580397;0,000587506;0,000468258;0,000498315;0,000473739;0,00047853;0,000483322;0,000403948;0,000391335;0,00040577;0,000391155;0,000391131;0,00041882
12;0,002425457;0,003125069;0,001989756;0,001347096;0,001247301;0,001200621;0,002026441;0,001947292;0,001807193;0,001633561;0,001426405;0,001298511;0,001190325;0,001020921;0,000905346;0,000831586;0,000857515;0,000860336;0,000927777;0,000875938;0,000795225;0,000717265;0,000620238;0,000597937;0,000557456;0,000584572;0,000609463;0,000488625;0,000516254;0,000485716;0,000488716;0,000491716;0,00042497;0,000405281;0,000427482;0,000435808;0,000406531;0,000432467
13;0,002501031;0,003144065;0,002095903;0,001506353;0,001392073;0,001335518;0,001929783;0,001890432;0,001823624;0,001642579;0,001458372;0,00133385;0,001221909;0,001061066;0,000944698;0,000875738;0,000894273;0,000902874;0,000971088;0,000932463;0,000840155;0,000756682;0,000650366;0,000631179;0,000586852;0,00060521;0,000642938;0,00052102;0,000543757;0,000512599;0,000510813;0,000509027;0,000461642;0,000434553;0,000461744;0,000505571;0,000435975;0,000454131
14;0,002576396;0,003173493;0,002210286;0,001670372;0,001543666;0,001475732;0,00183551;0,001862172;0,001867935;0,001659333;0,001500276;0,00137808;0,001263911;0,001118775;0,001003353;0,000941286;0,000956717;0,000970926;0,001038233;0,001017465;0,000912113;0,000818915;0,000700396;0,00068562;0,000638574;0,000641103;0,000686357;0,00056359;0,000579327;0,000553199;0,000543936;0,000534673;0,00051227;0,000477627;0,000507103;0,000596868;0,000478255;0,00048349
15;0,002489314;0,003133982;0,002171593;0,001607711;0,001486494;0,001419231;0,001669198;0,001900241;0,00202479;0,0016938;0,001571887;0,00145386;0,001354481;0,001241675;0,001134297;0,001093711;0,001058907;0,000947785;0,001020812;0,001110154;0,001009886;0,000919597;0,000767069;0,000795055;0,00074206;0,000713883;0,000742465;0,000622927;0,000623677;0,000623995;0,000592856;0,000561719;0,000599288;0,000564544;0,000581523;0,000791251;0,000553757;0,000506967
16;0,002564291;0,003175648;0,0023066;0,001803118;0,001671893;0,001590699;0,00160738;0,001901722;0,002072656;0,001712014;0,001624049;0,001496288;0,001392922;0,001303806;0,001199233;0,001164453;0,001159655;0,001113468;0,001178255;0,001254637;0,001129767;0,001014224;0,000852289;0,000870444;0,000820189;0,000766876;0,00079935;0,000677191;0,000670325;0,000680597;0,000642339;0,000604087;0,000662601;0,000617529;0,000636663;0,000880825;0,000608676;0,000554759
17;0,002650109;0,003225487;0,002462393;0,002034615;0,001892757;0,001795847;0,001576341;0,001904326;0,002096828;0,001725105;0,001658925;0,001528951;0,001418233;0,001353157;0,001251383;0,001219371;0,001271857;0,001347502;0,001398617;0,001427918;0,001269086;0,001117559;0,000951636;0,000945238;0,000901561;0,000821501;0,000859785;0,000733128;0,00072013;0,000739197;0,000696832;0,000654475;0,0007245;0,000666532;0,000690432;0,000947392;0,000663135;0,000612646
18;0,002741139;0,003279463;0,002631206;0,002292502;0,002139589;0,002026036;0,001575753;0,001904789;0,002093633;0,001731806;0,001676407;0,001550229;0,001429197;0,001387165;0,001288194;0,001256092;0,001391856;0,001644038;0,001676181;0,001625172;0,001423923;0,001226477;0,001061785;0,00101685;0,00098332;0,00087621;0,000922264;0,000789219;0,000771904;0,000798083;0,000754811;0,000711549;0,000783082;0,000709935;0,000741328;0,000988203;0,000715461;0,000678983
